Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
6.0625,9.99E-07,3.67E-08,,6.36E-08,60,
6.078125,9.99E-07,7.97E-08,,5.86E-08,60,
6.09375,9.99E-07,1.01E-07,,6.89E-08,60,
6.109375,9.99E-07,7.34E-08,,6.16E-08,60,
6.125,9.99E-07,3.67E-08,,6.75E-08,60,
6.140625,9.99E-07,5.65E-08,,5.91E-08,60,
6.15625,9.99E-07,7.93E-08,,6.53E-08,60,
6.171875,9.99E-07,9.25E-08,,5.72E-08,60,
6.1875,9.99E-07,6.92E-08,,6.34E-08,60,
6.203125,9.99E-07,3.75E-08,,5.89E-08,60,
6.21875,9.99E-07,6.02E-08,,6.80E-08,60,
6.234375,9.99E-07,8.52E-08,,6.32E-08,60,
6.25,9.99E-07,8.87E-08,,6.91E-08,60,
6.265625,9.99E-07,4.55E-08,,6.25E-08,60,
6.28125,9.99E-07,6.12E-08,,6.53E-08,60,
6.296875,9.99E-07,6.84E-08,,5.84E-08,60,
6.3125,9.99E-07,5.77E-08,,6.17E-08,60,
6.328125,9.99E-07,9.15E-08,,5.96E-08,60,
6.34375,9.99E-07,8.21E-08,,6.43E-08,60,
6.359375,9.99E-07,3.50E-08,,6.38E-08,60,
6.375,9.99E-07,6.48E-08,,6.42E-08,60,
6.390625,9.99E-07,9.66E-08,,6.20E-08,60,
6.40625,9.99E-07,6.21E-08,,6.00E-08,60,
6.421875,9.99E-07,6.24E-08,,5.89E-08,60,
6.4375,9.99E-07,5.81E-08,,5.64E-08,60,
6.453125,9.99E-07,5.27E-08,,6.12E-08,60,
6.46875,9.99E-07,7.24E-08,,5.83E-08,60,
6.484375,9.99E-07,1.05E-07,,6.59E-08,60,
6.5,9.99E-07,6.19E-08,,6.19E-08,60,
6.515625,9.99E-07,3.00E-08,,6.51E-08,60,
6.53125,9.99E-07,7.81E-08,,5.65E-08,60,
6.546875,9.99E-07,9.50E-08,,6.20E-08,60,
6.5625,9.99E-07,7.76E-08,,5.52E-08,60,
6.578125,9.99E-07,4.30E-08,,6.36E-08,60,
6.59375,9.99E-07,3.95E-08,,5.87E-08,60,
6.609375,9.99E-07,1.01E-07,,6.67E-08,60,
6.625,9.99E-07,9.21E-08,,6.13E-08,60,
6.640625,9.99E-07,4.58E-08,,6.60E-08,60,
6.65625,9.99E-07,4.33E-08,,5.86E-08,60,
6.671875,9.99E-07,7.11E-08,,6.39E-08,60,
6.6875,9.99E-07,8.01E-08,,5.69E-08,60,
6.703125,9.99E-07,6.44E-08,,6.30E-08,60,
6.71875,9.99E-07,4.64E-08,,6.09E-08,60,
6.734375,9.99E-07,5.95E-08,,6.74E-08,60,
6.75,9.99E-07,7.44E-08,,6.66E-08,60,
6.765625,9.99E-07,5.11E-08,,6.64E-08,60,
6.78125,9.99E-07,6.54E-08,,6.30E-08,60,
6.796875,9.99E-07,7.73E-08,,6.12E-08,60,
6.8125,9.99E-07,4.46E-08,,6.22E-08,60,
6.828125,9.99E-07,4.55E-08,,6.43E-08,60,
6.84375,9.99E-07,9.94E-08,,6.80E-08,60,
6.859375,9.99E-07,7.97E-08,,6.55E-08,60,
6.875,9.99E-07,3.31E-08,,6.67E-08,60,
6.890625,9.99E-07,4.73E-08,,6.10E-08,60,
6.90625,9.99E-07,7.89E-08,,6.16E-08,60,
6.921875,9.99E-07,7.76E-08,,5.58E-08,60,
6.9375,9.99E-07,5.36E-08,,6.01E-08,60,
6.953125,9.99E-07,3.74E-08,,5.86E-08,60,
6.96875,9.99E-07,6.70E-08,,6.38E-08,60,
6.984375,9.99E-07,7.43E-08,,6.03E-08,60,
7,9.99E-07,8.16E-08,,6.28E-08,60,
7.015625,9.99E-07,3.07E-08,,5.68E-08,60,
7.03125,9.99E-07,6.03E-08,,5.90E-08,60,
7.046875,9.99E-07,8.21E-08,,5.76E-08,60,
