Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,,
6.34375,9.99E-07,6.39E-06,,1.22E-08,,
6.359375,9.99E-07,5.19E-06,,1.02E-08,,
6.375,9.99E-07,4.43E-06,,9.96E-09,,
6.390625,9.99E-07,3.96E-06,,1.01E-08,,
6.40625,9.99E-07,3.62E-06,,1.15E-08,,
6.421875,9.99E-07,3.40E-06,,8.71E-09,,
6.4375,9.99E-07,3.29E-06,,1.10E-08,,
6.453125,9.99E-07,3.35E-06,,8.17E-09,,
6.46875,9.99E-07,3.51E-06,,9.89E-09,,
6.484375,9.99E-07,3.64E-06,,9.81E-09,,
6.5,9.99E-07,3.86E-06,,8.48E-09,,
6.515625,9.99E-07,4.16E-06,,9.57E-09,,
6.53125,9.99E-07,4.42E-06,,1.16E-08,,
6.546875,9.99E-07,4.36E-06,,9.78E-09,,
6.5625,9.99E-07,4.08E-06,,9.24E-09,,
6.578125,9.99E-07,3.55E-06,,1.12E-08,,
6.59375,9.99E-07,2.84E-06,,1.29E-08,,
6.609375,9.99E-07,2.29E-06,,6.30E-09,,
6.625,9.99E-07,1.88E-06,,1.25E-08,,
6.640625,9.99E-07,1.60E-06,,1.08E-08,,
6.65625,9.99E-07,1.58E-06,,8.94E-09,,
6.671875,9.99E-07,1.50E-06,,6.93E-09,,
6.6875,9.99E-07,1.45E-06,,1.15E-08,,
6.703125,9.99E-07,1.56E-06,,1.21E-08,,
6.71875,9.99E-07,1.73E-06,,4.95E-09,,
6.734375,9.99E-07,2.07E-06,,1.32E-08,,
6.75,9.99E-07,2.56E-06,,1.11E-08,,
6.765625,9.99E-07,3.08E-06,,9.70E-09,,
6.78125,9.99E-07,3.61E-06,,6.99E-09,,
6.796875,9.99E-07,4.12E-06,,1.60E-08,,
6.8125,9.99E-07,4.39E-06,,8.52E-09,,
6.828125,9.99E-07,4.52E-06,,7.43E-09,,
6.84375,9.99E-07,4.82E-06,,1.13E-08,,
6.859375,9.99E-07,5.16E-06,,1.08E-08,,
6.875,9.99E-07,5.11E-06,,7.24E-09,,
6.890625,9.99E-07,5.01E-06,,7.67E-09,,
6.90625,9.99E-07,5.18E-06,,1.36E-08,,
6.921875,9.99E-07,5.24E-06,,7.58E-09,,
6.9375,9.99E-07,5.17E-06,,8.62E-09,,
6.953125,9.99E-07,4.72E-06,,1.11E-08,,
6.96875,9.99E-07,4.33E-06,,1.09E-08,,
6.984375,9.99E-07,3.86E-06,,8.23E-09,,
7,9.99E-07,3.25E-06,,1.07E-08,,
7.015625,9.99E-07,2.58E-06,,9.69E-09,,
7.03125,9.99E-07,2.10E-06,,9.66E-09,,
7.046875,9.99E-07,1.87E-06,,8.30E-09,,
7.0625,9.99E-07,1.64E-06,,9.35E-09,,
7.078125,9.99E-07,1.42E-06,,8.26E-09,,
7.09375,9.99E-07,1.31E-06,,1.15E-08,,
7.109375,9.99E-07,1.41E-06,,6.75E-09,,
7.125,9.99E-07,1.45E-06,,1.19E-08,,
7.140625,9.99E-07,1.29E-06,,1.02E-08,,
7.15625,9.99E-07,1.30E-06,,8.01E-09,,
