Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,
6.859375,9.99E-07,3.87E-07,,3.85E-07,
6.875,9.99E-07,3.57E-07,,3.70E-07,
6.890625,9.99E-07,3.43E-07,,3.88E-07,
6.90625,9.99E-07,3.45E-07,,3.83E-07,
6.921875,9.99E-07,3.69E-07,,3.67E-07,
6.9375,9.99E-07,3.88E-07,,3.96E-07,
6.953125,9.99E-07,4.05E-07,,3.70E-07,
6.96875,9.99E-07,4.15E-07,,3.91E-07,
6.984375,9.99E-07,4.23E-07,,3.89E-07,
7,9.99E-07,4.13E-07,,3.79E-07,
7.015625,9.99E-07,3.99E-07,,4.00E-07,
7.03125,9.99E-07,3.79E-07,,3.80E-07,
7.046875,9.99E-07,3.60E-07,,3.97E-07,
7.0625,9.99E-07,3.51E-07,,3.97E-07,
7.078125,9.99E-07,3.51E-07,,3.79E-07,
7.09375,9.99E-07,3.64E-07,,4.16E-07,
7.109375,9.99E-07,3.81E-07,,3.98E-07,
7.125,9.99E-07,4.10E-07,,4.24E-07,
7.140625,9.99E-07,4.37E-07,,4.23E-07,
7.15625,9.99E-07,4.61E-07,,4.16E-07,
7.171875,9.99E-07,4.74E-07,,4.24E-07,
7.1875,9.99E-07,4.71E-07,,4.00E-07,
7.203125,9.99E-07,4.43E-07,,4.30E-07,
7.21875,9.99E-07,4.16E-07,,4.01E-07,
7.234375,9.99E-07,3.80E-07,,4.12E-07,
7.25,9.99E-07,3.57E-07,,4.11E-07,
7.265625,9.99E-07,3.40E-07,,3.90E-07,
7.28125,9.99E-07,3.32E-07,,4.10E-07,
7.296875,9.99E-07,3.43E-07,,3.92E-07,
7.3125,9.99E-07,3.53E-07,,4.09E-07,
7.328125,9.99E-07,3.71E-07,,3.96E-07,
7.34375,9.99E-07,3.98E-07,,4.03E-07,
7.359375,9.99E-07,4.29E-07,,4.04E-07,
7.375,9.99E-07,4.48E-07,,3.87E-07,
7.390625,9.99E-07,4.57E-07,,4.08E-07,
7.40625,9.99E-07,4.58E-07,,3.71E-07,
7.421875,9.99E-07,4.41E-07,,3.96E-07,
7.4375,9.99E-07,4.22E-07,,3.77E-07,
7.453125,9.99E-07,4.08E-07,,3.72E-07,
7.46875,9.99E-07,3.78E-07,,3.91E-07,
7.484375,9.99E-07,3.52E-07,,3.69E-07,
7.5,9.99E-07,3.27E-07,,4.02E-07,
7.515625,9.99E-07,3.14E-07,,3.77E-07,
7.53125,9.99E-07,3.13E-07,,3.95E-07,
7.546875,9.99E-07,3.17E-07,,3.78E-07,
7.5625,9.99E-07,3.30E-07,,3.80E-07,
7.578125,9.99E-07,3.52E-07,,3.84E-07,
7.59375,9.99E-07,3.76E-07,,3.79E-07,
7.609375,9.99E-07,4.01E-07,,3.95E-07,
7.625,9.99E-07,4.26E-07,,3.68E-07,
7.640625,9.99E-07,4.51E-07,,3.91E-07,
7.65625,9.99E-07,4.73E-07,,3.74E-07,
7.671875,9.99E-07,4.80E-07,,3.92E-07,
7.6875,9.99E-07,4.81E-07,,3.98E-07,
7.703125,9.99E-07,4.80E-07,,3.88E-07,
7.71875,9.99E-07,4.62E-07,,3.98E-07,
