Bits,InputPower,OutputPower
10.21875,9.99E-07,1.07E-07
10.234375,9.99E-07,1.11E-07
10.25,9.99E-07,1.09E-07
10.265625,9.99E-07,1.08E-07
10.28125,9.99E-07,1.06E-07
10.296875,9.99E-07,1.12E-07
10.3125,9.99E-07,1.12E-07
10.328125,9.99E-07,1.03E-07
10.34375,9.99E-07,1.07E-07
10.359375,9.99E-07,1.06E-07
10.375,9.99E-07,1.11E-07
10.390625,9.99E-07,9.95E-08
10.40625,9.99E-07,1.05E-07
10.421875,9.99E-07,1.05E-07
10.4375,9.99E-07,1.06E-07
10.453125,9.99E-07,9.98E-08
10.46875,9.99E-07,1.01E-07
10.484375,9.99E-07,1.07E-07
10.5,9.99E-07,1.02E-07
10.515625,9.99E-07,9.81E-08
10.53125,9.99E-07,9.44E-08
10.546875,9.99E-07,9.85E-08
10.5625,9.99E-07,1.02E-07
10.578125,9.99E-07,9.00E-08
10.59375,9.99E-07,9.75E-08
10.609375,9.99E-07,8.76E-08
10.625,9.99E-07,1.01E-07
10.640625,9.99E-07,8.22E-08
10.65625,9.99E-07,9.77E-08
10.671875,9.99E-07,8.67E-08
10.6875,9.99E-07,1.06E-07
10.703125,9.99E-07,9.06E-08
10.71875,9.99E-07,9.83E-08
10.734375,9.99E-07,9.82E-08
10.75,9.99E-07,1.01E-07
10.765625,9.99E-07,1.01E-07
10.78125,9.99E-07,9.56E-08
10.796875,9.99E-07,1.10E-07
10.8125,9.99E-07,1.03E-07
10.828125,9.99E-07,1.09E-07
10.84375,9.99E-07,9.34E-08
10.859375,9.99E-07,1.03E-07
10.875,9.99E-07,9.69E-08
10.890625,9.99E-07,9.99E-08
10.90625,9.99E-07,9.25E-08
10.921875,9.99E-07,9.61E-08
10.9375,9.99E-07,9.85E-08
10.953125,9.99E-07,9.59E-08
10.96875,9.99E-07,9.12E-08
10.984375,9.99E-07,9.21E-08
11,9.99E-07,9.51E-08
11.015625,9.99E-07,1.02E-07
11.03125,9.99E-07,9.10E-08
11.046875,9.99E-07,9.71E-08
11.0625,9.99E-07,9.13E-08
11.078125,9.99E-07,1.06E-07
11.09375,9.99E-07,9.07E-08
11.109375,9.99E-07,1.03E-07
11.125,9.99E-07,9.37E-08
11.140625,9.99E-07,1.06E-07
11.15625,9.99E-07,9.14E-08
11.171875,9.99E-07,9.50E-08
11.1875,9.99E-07,9.06E-08
11.203125,9.99E-07,9.90E-08
11.21875,9.99E-07,9.59E-08
11.234375,9.99E-07,9.19E-08
11.25,9.99E-07,9.63E-08
11.265625,9.99E-07,9.48E-08
11.28125,9.99E-07,1.03E-07
11.296875,9.99E-07,9.23E-08
11.3125,9.99E-07,9.84E-08
11.328125,9.99E-07,9.35E-08
11.34375,9.99E-07,1.05E-07
11.359375,9.99E-07,9.75E-08
11.375,9.99E-07,1.01E-07
11.390625,9.99E-07,9.47E-08
11.40625,9.99E-07,1.05E-07
11.421875,9.99E-07,1.01E-07
11.4375,9.99E-07,1.01E-07
11.453125,9.99E-07,9.58E-08
11.46875,9.99E-07,1.02E-07
11.484375,9.99E-07,1.04E-07
11.5,9.99E-07,1.05E-07
11.515625,9.99E-07,9.65E-08
11.53125,9.99E-07,1.03E-07
